lat,lon
33.7275604,-84.4153284
33.7993335,-84.4790241
33.722906,-84.3998696
33.6960644,-84.4096752
33.7076433,-84.5177489
33.7653549,-84.3714018
33.7170114,-84.4325435
33.7700177,-84.418429
33.7891,-84.472807
33.7195658,-84.4262088
33.7491227,-84.421143
33.7796164,-84.3855792
33.724557,-84.4264199
33.7064782,-84.4574774
33.724557,-84.4264199
33.7662563,-84.4520041
33.8091968,-84.3653988
33.8091968,-84.3653988
33.7082558,-84.3597707
33.7700241,-84.3845792
33.708655,-84.361628
33.7120526,-84.3868487
33.74716,-84.423124
33.767321,-84.45257
33.7655477,-84.4166604
33.7018345,-84.385574
33.845573,-84.379905
33.7670973,-84.3638212
33.7571856,-84.3775815
33.78504,-84.459754
33.7635294,-84.4292989
33.6926816,-84.5380761
33.7581654,-84.4169686
33.769209,-84.435745
33.7640417,-84.4834857
33.7146699,-84.3688584
33.7078354,-84.4466253
33.7137102,-84.3593576
33.7064782,-84.4574774
33.7069443,-84.3741635
33.7069443,-84.3741635
33.7697796,-84.4141736
33.7231786,-84.4913431
33.7231786,-84.4913431
33.7540438,-84.4973855
33.7692908,-84.4146459
33.7692908,-84.4146459
33.8190452,-84.4456555
33.7531672,-84.3912811
33.7019505,-84.4553705
33.7567552,-84.4446407
33.7404562,-84.3838677
33.7621913,-84.4397199
33.753382,-84.3198323
33.7891,-84.472807
33.7428383,-84.4013976
33.7555771,-84.3366834
33.675612,-84.417047
33.7146577,-84.3717316
33.7734147,-84.4215748
33.7632235,-84.4171668
33.740947,-84.421398
33.7665078,-84.4140122
33.7995483,-84.470985
33.8353806,-84.3685201
33.7310647,-84.4302199
33.7808947,-84.3664501
33.7522789,-84.4197726
33.7625449,-84.4112339
33.7650769,-84.3657705
33.7250938,-84.3911373
33.6723682,-84.393649
33.7004433,-84.4556051
33.752765,-84.4390193
33.7591658,-84.3880638
33.6613153,-84.5233488
33.6487007,-84.3572824
33.7038723,-84.468326
33.7554308,-84.3815816
33.7009551,-84.4531159
33.7399344,-84.3119755
33.7664595,-84.3767528
33.7712906,-84.4339595
33.7729308,-84.4207782
33.7998511,-84.4613372
33.799773,-84.4615783
33.7064782,-84.4574774
33.7619863,-84.5076679
33.6768667,-84.3776534
33.7360901,-84.3659069
33.7219187,-84.4536182
33.7004433,-84.4556051
33.7144395,-84.390965
33.7572322,-84.417155
33.7640199,-84.4193824
33.747641,-84.328691
33.7058467,-84.4233352
33.751688,-84.389952
33.7517995,-84.394061
33.7039294,-84.5106485
33.7027484,-84.4214243
33.8442939,-84.3686535
33.7437186,-84.4283729
33.6902734,-84.4077715
33.7566545,-84.4213248
33.7482435,-84.4187248
33.7636419,-84.4561043
33.709735,-84.380194
33.692684,-84.398422
33.7483065,-84.4047549
33.718551,-84.4165567
33.7483065,-84.4047549
33.7756464,-84.4652221
33.6975886,-84.3512345
33.7144395,-84.390965
33.703186,-84.464332
33.7551868,-84.4849422
33.7091509,-84.3541002
33.7487528,-84.3521104
33.7863239,-84.3847119
33.7266205,-84.4018378
33.7594648,-84.4187312
33.6708309,-84.3967132
33.6708309,-84.3967132
33.768288,-84.4485369
33.6751268,-84.3891014
33.684802,-84.514034
33.7261331,-84.3863515
33.752975,-84.3182344
33.752975,-84.3182344
33.7492329,-84.4415147
33.7730737,-84.4726446
33.7571856,-84.3775815
33.7507814,-84.4582036
33.6859887,-84.5079516
33.6859887,-84.5079516
33.786497,-84.458512
33.7399344,-84.3119755
33.711081,-84.4441125
33.7759675,-84.4491616
33.754488,-84.41518
33.7038157,-84.379886
33.7678469,-84.5118484
33.6858183,-84.3639007
33.7269713,-84.3868654
33.7412501,-84.397416
33.7692327,-84.4123964
33.7274749,-84.415193
33.7764883,-84.4510763
33.8014048,-84.465938
33.7384717,-84.4283743
33.7516617,-84.4678517
33.7683782,-84.3734457
33.7060682,-84.3772584
33.7891,-84.472807
33.7531776,-84.4905928
33.7572476,-84.4170023
33.7472046,-84.3523783
33.7718929,-84.3724984
33.7287558,-84.3876211
33.768437,-84.4149037
33.7046155,-84.4551922
33.7666973,-84.3711903
33.6963444,-84.3786733
33.7635286,-84.4117678
33.7079189,-84.487122
33.7636073,-84.4137513
33.673946,-84.374482
33.7764883,-84.4510763
33.7235277,-84.4022222
33.7574534,-84.3701126
33.7431292,-84.4349727
33.763775,-84.4259311
33.718804,-84.4423739
33.6807044,-84.407218
33.698529,-84.4179997
33.7185615,-84.4126202
33.7614186,-84.5159668
33.7627625,-84.4514088
33.75666,-84.4387953
33.7061243,-84.3578954
33.7709412,-84.4416614
33.7482241,-84.4203972
33.7051306,-84.4594729
33.8017464,-84.3664405
33.703186,-84.464332
33.7553421,-84.4619493
33.7675218,-84.4082664
33.7699666,-84.4139259
33.6701365,-84.392969
33.7112804,-84.3852939
33.769356,-84.41981
33.7805695,-84.415877
33.7370925,-84.4480092
33.7006713,-84.4185073
33.7334199,-84.3852284
33.6705509,-84.3956537
33.670787,-84.396149
33.7730565,-84.5142018
33.7208263,-84.4256394
33.787358,-84.494482
33.731782,-84.437205
33.7011,-84.4552991
33.7406762,-84.4163482
33.7557813,-84.3813086
33.698079,-84.485944
33.7326541,-84.3787106
33.6726112,-84.4965279
33.6992836,-84.4846956
33.7072106,-84.3782413
33.7636419,-84.4561043
33.7744309,-84.3590162
33.7180459,-84.379238
33.7690527,-84.37451
33.725923,-84.525674
33.7194324,-84.4030286
33.7676546,-84.5145695
33.7424502,-84.5027065
33.7424502,-84.5027065
33.7219933,-84.4190586
33.7356059,-84.4198692
33.7738393,-84.3489853
33.7734378,-84.3891673
33.7600126,-84.4364276
33.7430986,-84.3972469
33.7219933,-84.4190586
33.7669734,-84.4145254
33.7209378,-84.453109
33.7716387,-84.4399502
33.7397085,-84.435845
33.6943013,-84.3932085
33.7392468,-84.4351034
33.77292,-84.3641358
33.7711162,-84.3754653
33.7591658,-84.3880638
33.7484957,-84.496382
33.6861631,-84.5095233
33.6861631,-84.5095233
33.721859,-84.435798
33.7337946,-84.4384863
33.751688,-84.389952
33.696463,-84.51927
33.781465,-84.4920847
33.6981464,-84.410011
33.788188,-84.4771608
33.7172615,-84.4310952
33.7619204,-84.4164262
33.7057865,-84.4601583
33.7723545,-84.4177423
33.7706899,-84.3722805
33.737869,-84.414391
33.7612641,-84.5037499
33.76841,-84.4123938
33.7514658,-84.4790502
33.7671914,-84.4124182
33.7680759,-84.4162684
33.7492871,-84.4224521
33.7079189,-84.487122
33.7845605,-84.464596
33.7500786,-84.4183746
33.7282331,-84.4275605
33.722679,-84.3998217
33.7740072,-84.4625676
33.7551868,-84.4849422
33.689489,-84.407272
33.7701628,-84.4373877
33.7701628,-84.4373877
33.8184114,-84.4488525
33.811343,-84.466982
33.7421737,-84.3454463
33.739344,-84.343573
33.7391535,-84.3967147
33.7698319,-84.4050189
33.7326001,-84.4083663
33.8096489,-84.3513508
33.7506948,-84.4153867
33.785525,-84.462555
33.7035459,-84.4557755
33.7798415,-84.494135
33.7675218,-84.4082664
33.7358965,-84.334528
33.7533928,-84.4811863
33.8088345,-84.3604744
33.7891,-84.472807
33.7403517,-84.3978905
33.7482645,-84.397312
33.7678469,-84.5118484
33.7431961,-84.3337751
33.6721137,-84.3725183
33.737048,-84.4290188
33.7629065,-84.3729609
33.7524606,-84.4025598
33.7524803,-84.3900208
33.7313551,-84.5110643
33.7390635,-84.4139232
33.7009551,-84.4531159
33.7264126,-84.3877605
33.731582,-84.329589
33.6732905,-84.4992916
33.6600086,-84.3561102
33.7648486,-84.3729662
33.7489078,-84.4024985
33.7702461,-84.3714741
33.7306477,-84.3366696
33.708999,-84.456396
33.6736071,-84.3710659
33.7019505,-84.4553705
33.7520961,-84.3961718
33.7356707,-84.4370488
33.7865434,-84.4916068
33.7008366,-84.4505136
33.7688078,-84.4189552
33.7615039,-84.4341442
33.7718893,-84.4161915
33.7878983,-84.3836328
33.7690709,-84.460984
33.7690709,-84.460984
33.7690709,-84.460984
33.7254684,-84.4258364
33.770704,-84.4125706
33.752745,-84.371027
